tool,rep,filter,bits,hits,seconds,addr_per_sec,gpu_watts,cpu_watts
idle,0,-,0,0,30,0,25.2,62.1
mkp224o,1,hon2o,25,694,90,2.587420e+08,25.1,338.4
mkp224o,2,hon2o,25,694,90,2.587420e+08,24.9,336.7
mkp224o,3,hon2o,25,676,90,2.520311e+08,24.9,336.7
mkp224o,4,hon2o,25,709,90,2.643344e+08,24.9,337.1
mkp224o,5,hon2o,25,678,90,2.527767e+08,24.9,337.6
mkp224o,6,hon2o,25,678,90,2.527767e+08,24.9,337.3
mkp224o,7,hon2o,25,667,90,2.486756e+08,25.1,337.2
mkp224o,8,hon2o,25,630,90,2.348810e+08,24.9,336.3
mkp224o,9,hon2o,25,757,90,2.822301e+08,24.8,335.1
mkp224o,10,hon2o,25,684,90,2.550137e+08,25.0,336.3
honion,1,hon2on,30,608,90,7.253723e+09,554.2,88.4
honion,2,hon2on,30,588,90,7.015113e+09,575.8,90.7
honion,3,hon2on,30,565,90,6.740713e+09,576.7,92.0
honion,4,hon2on,30,594,90,7.086696e+09,572.9,92.8
honion,5,hon2on,30,563,90,6.716852e+09,573.5,92.6
honion,6,hon2on,30,553,90,6.597547e+09,574.7,92.3
honion,7,hon2on,30,615,90,7.337236e+09,575.4,93.1
honion,8,hon2on,30,580,90,6.919670e+09,574.8,92.8
honion,9,hon2on,30,570,90,6.800365e+09,572.0,93.0
honion,10,hon2on,30,574,90,6.848087e+09,575.7,93.0
prefix32,1,hon2on,30,900,90,1.073742e+10,591.4,87.1
prefix32,2,hon2on,30,874,90,1.042723e+10,590.8,87.0
prefix32,3,hon2on,30,891,90,1.063004e+10,590.0,87.1
prefix32,4,hon2on,30,917,90,1.094024e+10,590.4,88.0
prefix32,5,hon2on,30,842,90,1.004545e+10,590.0,87.5
prefix32,6,hon2on,30,876,90,1.045109e+10,592.6,87.5
prefix32,7,hon2on,30,900,90,1.073742e+10,591.2,87.9
prefix32,8,hon2on,30,853,90,1.017669e+10,590.2,87.4
prefix32,9,hon2on,30,893,90,1.065390e+10,591.0,88.0
prefix32,10,hon2on,30,882,90,1.052267e+10,590.3,87.7
